repo_id,name,full_name,owner,stars,created_at,pushed_at,html_url,default_branch,description,archived,size_kb,engine
212840200,snakemake,snakemake/snakemake,snakemake,2720,2019-10-04T14:58:11+00:00,2026-03-10T21:08:35+00:00,https://github.com/snakemake/snakemake,main,"This is the development home of the workflow management system Snakemake. For general information, see",false,95466,snakemake
165259818,snakecharm,JetBrains-Research/snakecharm,JetBrains-Research,62,2019-01-11T14:49:20+00:00,2025-08-14T18:25:58+00:00,https://github.com/JetBrains-Research/snakecharm,master,Plugin for PyCharm / IntelliJ IDEA Platform IDEs which adds support for Snakemake language.,false,3192,snakemake
800999952,Snakebite-Holoruminant-MetaG,fischuu/Snakebite-Holoruminant-MetaG,fischuu,9,2024-05-15T12:06:30+00:00,2026-02-19T16:53:08+00:00,https://github.com/fischuu/Snakebite-Holoruminant-MetaG,main,Easy to use Snakemake metagenomic pipeline that covers a) read-based analysis b) contig based analysis and c) MAG assembly and annotation using a broad set of ready to use and included public databases and annotators,false,29110,snakemake
185782433,MONSDA,jfallmann/MONSDA,jfallmann,12,2019-05-09T11:02:03+00:00,2026-02-16T14:31:56+00:00,https://github.com/jfallmann/MONSDA,main,"MONSDA, Modular Organizer of Nextflow and Snakemake driven hts Data Analysis",false,27058,snakemake
180403483,project-diploid-assembly,ptrebert/project-diploid-assembly,ptrebert,16,2019-04-09T16:01:38+00:00,2024-04-02T17:24:55+00:00,https://github.com/ptrebert/project-diploid-assembly,master,Pipeline code for creating a fully haplotype-resolved assembly from a combination of PacBio/ONT long reads and Illumina Strand-seq data,false,11417,snakemake
261610578,grenepipe,moiexpositoalonsolab/grenepipe,moiexpositoalonsolab,113,2020-05-06T00:06:58+00:00,2025-06-24T14:21:06+00:00,https://github.com/moiexpositoalonsolab/grenepipe,master,"A flexible, scalable, and reproducible pipeline to automate variant calling from raw sequence reads, with lots of bells and whistles - for sampled individuals, and for pool sequencing.",false,105005,snakemake
196379320,seq2science,vanheeringen-lab/seq2science,vanheeringen-lab,168,2019-07-11T11:12:45+00:00,2026-02-24T16:18:56+00:00,https://github.com/vanheeringen-lab/seq2science,master,"Automated and customizable preprocessing of Next-Generation Sequencing data, including full (sc)ATAC-seq, ChIP-seq, and (sc)RNA-seq workflows. Works equally easy with public as local data. ",false,1493649,snakemake
1117635480,snakesee,nh13/snakesee,nh13,5,2025-12-16T15:39:39+00:00,2026-03-02T00:03:49+00:00,https://github.com/nh13/snakesee,main,A terminal UI for monitoring Snakemake workflows,false,576,snakemake
206941559,mosaicatcher-pipeline,friendsofstrandseq/mosaicatcher-pipeline,friendsofstrandseq,26,2019-09-07T08:50:59+00:00,2026-03-09T22:29:13+00:00,https://github.com/friendsofstrandseq/mosaicatcher-pipeline,main, Integrated workflow for SV calling from single-cell Strand-seq data ,false,17606,snakemake
87789709,V-pipe,cbg-ethz/V-pipe,cbg-ethz,144,2017-04-10T09:01:20+00:00,2025-11-19T13:50:37+00:00,https://github.com/cbg-ethz/V-pipe,master,V-pipe is a pipeline designed for analysing NGS data of short viral genomes,false,18428,snakemake
516436809,CATD_snakemake,Papatheodorou-Group/CATD_snakemake,Papatheodorou-Group,15,2022-07-21T16:03:00+00:00,2025-04-28T12:22:04+00:00,https://github.com/Papatheodorou-Group/CATD_snakemake,main,Snakemake pipeline for benchmarking cell-type deconvolution methods and deconvolving real bulk RNA-seq data with the use of scRNA-seq datasets,false,28872,snakemake
75199304,atlas,metagenome-atlas/atlas,metagenome-atlas,402,2016-11-30T15:19:28+00:00,2025-11-28T13:35:38+00:00,https://github.com/metagenome-atlas/atlas,main,ATLAS - Three commands to start analyzing your metagenome data,false,21305,snakemake
234527100,dna-seq-varlociraptor,snakemake-workflows/dna-seq-varlociraptor,snakemake-workflows,88,2020-01-17T10:34:54+00:00,2026-03-08T00:54:14+00:00,https://github.com/snakemake-workflows/dna-seq-varlociraptor,master,"A Snakemake workflow for calling small and structural variants under any kind of scenario (tumor/normal, tumor/normal/relapse, germline, pedigree, populations) via the unified statistical model of Varlociraptor.",false,18794,snakemake
258200660,phylociraptor,reslp/phylociraptor,reslp,27,2020-04-23T12:51:51+00:00,2025-11-21T13:42:30+00:00,https://github.com/reslp/phylociraptor,master,rapid phylogenomic tree calculator - A highly customizable framework for reproducible phylogenomic inference,false,3551,snakemake
363290003,smk-simple-slurm,jdblischak/smk-simple-slurm,jdblischak,165,2021-05-01T00:24:58+00:00,2024-06-20T20:29:02+00:00,https://github.com/jdblischak/smk-simple-slurm,main,A simple Snakemake profile for Slurm without --cluster-config,false,109,snakemake
76841262,smsk_popoolation,jlanga/smsk_popoolation,jlanga,7,2016-12-19T08:03:51+00:00,2024-04-26T13:24:21+00:00,https://github.com/jlanga/smsk_popoolation,master,Snakemake pipeline for Popoolation and Popoolation2,false,16931,snakemake
