workflow_file_id,repo_id,file_id,path,engine,file_type
1db10b58787ff04c4c9f45568432dd72ba862306,198982083,f34e097dc6061c2ecbee7e414c11c24fed24a9bd,modules/nf-core/ampcombi2/complete/main.nf,nextflow,workflow_source
5e3d0c41b13dcad5519ed2006c0f9f10195ddcac,198982083,1d9a220b12e0e250da86ac29a3b13aa8f12400e8,modules/nf-core/ampcombi2/parsetables/main.nf,nextflow,workflow_source
f0afebbf0f1e2c4cf65167f39529e8e564733ad3,198982083,52e11d8c1dd284af73ca86c9c8d83985760fa4f8,modules/nf-core/ampir/main.nf,nextflow,workflow_source
f34f2eacd9095db7119d14c73640615a24917f71,198982083,aee734a7f4326904cec155077e400ed4fad24b15,modules/nf-core/amplify/predict/main.nf,nextflow,workflow_source
4ce26992f7e44254510b69eb12159798ed6db8e4,198982083,6fb8d465699c8db510693f404938b123210f5353,modules/nf-core/amps/main.nf,nextflow,workflow_source
f11e4bd21b8ea250790708d0522257e90925ea26,198982083,45f66ce139b0a2a7122c56e5e60e020df8b7b196,modules/nf-core/amrfinderplus/run/main.nf,nextflow,workflow_source
60814c6b0552b886e9361d64c835f1b0e2fbcee4,198982083,c1e38fd0dd71dd6adcf4c22029f6e5cf912b788b,modules/nf-core/amrfinderplus/update/main.nf,nextflow,workflow_source
0440c4d367f6fd67ccda85d6396ee05bacc31901,198982083,74b478a67dc884cc49c1f10eb405024bb9d65520,modules/nf-core/amulety/antiberta2/main.nf,nextflow,workflow_source
e8c3e09fb4f40313de9cbd00d9c30cd1eca63345,198982083,4d3a9ed3a2ba3ec59b8b1bb6c3a86ec38a103e81,modules/nf-core/amulety/antiberty/main.nf,nextflow,workflow_source
da7710359500832bd918ce02067dd84334c381fa,198982083,356f90e538320ef8a731af145e7b825923b42f9a,modules/nf-core/amulety/balmpaired/main.nf,nextflow,workflow_source
b5b0f06c34d8dcbe4a0d29ace21d2db1ec8a7d17,198982083,f003aece0d0ffc2981157805eb4b5db9bb8f2707,modules/nf-core/amulety/embed/main.nf,nextflow,workflow_source
9a7d3a65ea76a746cf82e207fb71aec101e58df7,198982083,e86f2e0b5ce01cecef4536ee5562dca39e1599b0,modules/nf-core/amulety/esm2/main.nf,nextflow,workflow_source
cb4d8e51c4f7d46bc3537568eb7a2fb4efd4b4c4,198982083,363d5734f0900d0af4e0d9e0e19117f83ccc17f6,modules/nf-core/amulety/translate/main.nf,nextflow,workflow_source
83c7532d0dbba01651b986c4505fb0bc3c5ae947,198982083,971447b7a754aecc5d80f1cf74728bf7b32b5c66,modules/nf-core/angsd/contamination/main.nf,nextflow,workflow_source
b8f9bc325708f40957db5d175277572467cc4e1a,198982083,8c993c0a0f06818f419d9fb6cb8c793afed328fc,modules/nf-core/angsd/docounts/main.nf,nextflow,workflow_source
60f964cea1c39e188f0b0458c77828146e1e33f0,198982083,79e75f0bb50eb879e546e4aec7247ccab818d3e9,modules/nf-core/angsd/gl/main.nf,nextflow,workflow_source
c31a3f16e6a23b4d90792a4e99ba4cc694ae9922,198982083,78b79981a827d484b3cc7be232ad5815ad8631f0,modules/nf-core/anndata/barcodes/main.nf,nextflow,workflow_source
03d07e6837950885c61116cf7a4be94726ad2b91,198982083,a86670ad205fb3f337588370582b9f02c62b8fb5,modules/nf-core/anndata/getsize/main.nf,nextflow,workflow_source
65456b70ff9da562f069035d2ce1151ada444c69,198982083,c022513652775dbd5c6e89ea865b7120c90895db,modules/nf-core/annosine/main.nf,nextflow,workflow_source
275ca590f759aaae214924583a861566264450fc,198982083,867736917e750d1162e24f2d95b4f229af3fe3f2,modules/nf-core/annotsv/annotsv/main.nf,nextflow,workflow_source
834bc6b542413b310354db869162546a1ad6a688,198982083,5ea2e8cfc08d417fa09c0b3900e70a42d9d8d703,modules/nf-core/annotsv/installannotations/main.nf,nextflow,workflow_source
1c5931c9b9b249a999c265f9410c082950d463a0,198982083,b79624d346060c1c36735646f5b8caa2d2838cb3,modules/nf-core/anota2seq/anota2seqrun/main.nf,nextflow,workflow_source
c3187617f5e02bd8581711398963dbf9e9dccf04,198982083,1b86dae71f5923b3ed12fa3b2d9c6f08e159d3dc,modules/nf-core/antismash/antismash/main.nf,nextflow,workflow_source
1c25d32da0795649ee15067e6ba9999c6aefd3ea,198982083,4c0b08e974d4f9bf1400c5204e462d7b4acb0fc1,modules/nf-core/antismash/antismashdownloaddatabases/main.nf,nextflow,workflow_source
befe41ba61159fd0ccaf11dac5f59261522c02e1,198982083,c9c336702cd9cf79bae069b21a46f9eca4c3ca98,modules/nf-core/antismash/antismashlite/main.nf,nextflow,workflow_source
694e016bc058f3809ebe8d0d412459e84d0d75ee,198982083,b78d772a6a2fe5395c73121ba385f124211d8589,modules/nf-core/antismash/antismashlitedownloaddatabases/main.nf,nextflow,workflow_source
