src_task_id,dst_task_id,dependency_type,evidence
26aadfc37cdf347d15d977f9fa931f9ec7f8f2ee,8de4264d43d22389c54ff2afc9afd55c0f76ca80,explicit_rule_reference,PreprocessPeaks
3cd8d599531faf14133f2a1ddccc217e998702d6,26aadfc37cdf347d15d977f9fa931f9ec7f8f2ee,explicit_rule_reference,FindPeaks
3cd8d599531faf14133f2a1ddccc217e998702d6,13f85cc313af23748bed4aa7f87802b1a15bccbe,explicit_rule_reference,UnzipGenome
089127858d587c0fe3cdbd8569ef25ebe59e48d6,7ccced72634ea8482a49bc1405560bc0be1899a9,explicit_rule_reference,BedToBedg
089127858d587c0fe3cdbd8569ef25ebe59e48d6,0785a67174b4bd2b53e68e20cc1593b5cc4d8d55,explicit_rule_reference,BedToBedg_ext
089127858d587c0fe3cdbd8569ef25ebe59e48d6,afce913dd45297e3df625adc56ecf74c08c07f1c,explicit_rule_reference,BedToBedg_rev
089127858d587c0fe3cdbd8569ef25ebe59e48d6,79b9fcb0ecee7ba59f6b741f722f8b7ec6c8f813,explicit_rule_reference,PeakToBedg
5940c04e8433d2faaf48fcb143806f7c8cffb86a,6d1679813374a6b2a27a018578ee7660ab5c90c1,explicit_rule_reference,NormalizeBedg
f8a294fb04cac8a0a75c844863056425816b6706,5940c04e8433d2faaf48fcb143806f7c8cffb86a,explicit_rule_reference,PeakToTRACKS
6d1679813374a6b2a27a018578ee7660ab5c90c1,7ccced72634ea8482a49bc1405560bc0be1899a9,explicit_rule_reference,BedToBedg
0e7549ef25dbff7dd3156fad3a32940d520a8bf3,6d1679813374a6b2a27a018578ee7660ab5c90c1,explicit_rule_reference,NormalizeBedg
5d7915da323aa8d3bbebaef307e374dd1ac79a6d,0e7549ef25dbff7dd3156fad3a32940d520a8bf3,explicit_rule_reference,BedgToTRACKS
60161efbc3befd1e4343a4d85bdfff3d43326a7a,250c7e5ef6524aa158b58c6a2c2aac120d0bc4df,explicit_rule_reference,create_annotation_table
