repo_id,name,full_name,owner,stars,created_at,pushed_at,html_url,default_branch,description,archived,size_kb,engine
913779335,methylong,nf-core/methylong,nf-core,22,2025-01-08T10:38:36+00:00,2025-12-19T12:46:23+00:00,https://github.com/nf-core/methylong,master,Extract methylation calls from long reads (ONT/ PacBio) ,false,237420,nextflow
217119558,bacannot,fmalmeida/bacannot,fmalmeida,106,2019-10-23T17:51:49+00:00,2026-01-22T15:59:49+00:00,https://github.com/fmalmeida/bacannot,master,Generic but comprehensive pipeline for prokaryotic genome annotation and interrogation with interactive reports and shiny app.,false,52482,nextflow
140590861,smrnaseq,nf-core/smrnaseq,nf-core,98,2018-07-11T14:56:59+00:00,2026-01-07T13:41:35+00:00,https://github.com/nf-core/smrnaseq,master,A small-RNA sequencing analysis pipeline,false,9232,nextflow
118471337,flowcraft,assemblerflow/flowcraft,assemblerflow,248,2018-01-22T14:54:30+00:00,2025-08-10T08:45:01+00:00,https://github.com/assemblerflow/flowcraft,master,FlowCraft: a component-based pipeline composer for omics analysis using Nextflow. :whale::package:,false,8274,nextflow
618052993,PUMATAC,aertslab/PUMATAC,aertslab,26,2023-03-23T16:49:51+00:00,2025-09-23T09:13:47+00:00,https://github.com/aertslab/PUMATAC,main,Pipeline for Universal Mapping of ATAC-seq,false,674,nextflow
484411424,genomenote,sanger-tol/genomenote,sanger-tol,26,2022-04-22T11:40:04+00:00,2026-02-07T14:26:25+00:00,https://github.com/sanger-tol/genomenote,main,"Nextflow DSL2 pipeline to generate a Genome Note, including assembly statistics, quality metrics, and Hi-C contact maps. This workflow is part of the Tree of Life production suite.",false,5715,nextflow
862954512,genomeqc,nf-core/genomeqc,nf-core,20,2024-09-25T13:21:38+00:00,2026-03-09T18:20:00+00:00,https://github.com/nf-core/genomeqc,dev,"Compare the quality of multiple genomes, along with their annotations.",false,2865,nextflow
479448074,scnanoseq,nf-core/scnanoseq,nf-core,52,2022-04-08T15:41:14+00:00,2026-03-09T14:58:58+00:00,https://github.com/nf-core/scnanoseq,master,Single-cell/nuclei pipeline for data derived from Oxford Nanopore and 10X Genomics,false,43462,nextflow
259973984,emg-viral-pipeline,EBI-Metagenomics/emg-viral-pipeline,EBI-Metagenomics,147,2020-04-29T16:04:00+00:00,2026-03-04T16:01:46+00:00,https://github.com/EBI-Metagenomics/emg-viral-pipeline,master,VIRify: detection of phages and eukaryotic viruses from metagenomic and metatranscriptomic assemblies,false,37960,nextflow
558518821,callingcards,nf-core/callingcards,nf-core,5,2022-10-27T17:57:27+00:00,2025-11-20T09:32:26+00:00,https://github.com/nf-core/callingcards,master,A pipeline for processing calling cards data,false,40491,nextflow
670209670,multiplesequencealign,nf-core/multiplesequencealign,nf-core,40,2023-07-24T14:30:12+00:00,2025-11-20T09:32:09+00:00,https://github.com/nf-core/multiplesequencealign,master,A pipeline to run and systematically evaluate Multiple Sequence Alignment (MSA) methods.,false,20556,nextflow
180151993,scrnaseq,nf-core/scrnaseq,nf-core,316,2019-04-08T13:12:00+00:00,2026-02-25T15:34:19+00:00,https://github.com/nf-core/scrnaseq,master,"Single-cell RNA-Seq pipeline for barcode-based protocols such as 10x, DropSeq or SmartSeq, offering a variety of aligners and empty-droplet detection",false,47510,nextflow
366628916,rnavar,nf-core/rnavar,nf-core,59,2021-05-12T07:25:10+00:00,2026-03-09T11:45:35+00:00,https://github.com/nf-core/rnavar,master,gatk4 RNA variant calling pipeline,false,5060,nextflow
502876529,blobtoolkit,sanger-tol/blobtoolkit,sanger-tol,15,2022-06-13T08:47:53+00:00,2026-02-12T14:03:35+00:00,https://github.com/sanger-tol/blobtoolkit,main,Nextflow DSL2 pipeline to generate data for a BlobToolKit analysis. This workflow is part of the Tree of Life production suite.,false,82016,nextflow
564604090,radseq,nf-core/radseq,nf-core,7,2022-11-11T04:10:08+00:00,2025-06-03T11:02:22+00:00,https://github.com/nf-core/radseq,dev,Variant-calling pipeline for Restriction site-associated DNA sequencing (RADseq).,false,2815,nextflow
168486714,bacass,nf-core/bacass,nf-core,85,2019-01-31T08:03:31+00:00,2026-03-06T08:53:10+00:00,https://github.com/nf-core/bacass,master,Simple bacterial assembly and annotation pipeline,false,5838,nextflow
601991905,deepUMIcaller,bbglab/deepUMIcaller,bbglab,5,2023-02-15T09:12:27+00:00,2026-03-08T15:00:12+00:00,https://github.com/bbglab/deepUMIcaller,master,A Nextflow pipeline for duplex sequencing data analysis,false,160001,nextflow
796750517,tbanalyzer,nf-core/tbanalyzer,nf-core,13,2024-05-06T15:00:51+00:00,2025-06-03T11:02:19+00:00,https://github.com/nf-core/tbanalyzer,dev,An nf-core (meta) pipeline for analysis of different members of Mycobacterium tuberculosis complex.,false,5393,nextflow
250283664,metaboigniter,nf-core/metaboigniter,nf-core,25,2020-03-26T14:38:21+00:00,2025-06-03T11:01:33+00:00,https://github.com/nf-core/metaboigniter,master,Pre-processing of mass spectrometry-based metabolomics data with quantification and identification based on MS1 and MS2 data.,false,48561,nextflow
